,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
350,2.4328814,151.0,-0.75931215,0.76684743,70.05053,11.566341
352,1.6443452,137.0,-1.066054,0.0472157,70.113106,-45.22454
353,1.957754,231.0,-0.66120833,0.9138766,70.141,-42.488487
354,0.4338932,257.0,-0.89578485,3.5265307,70.40782,-43.027252
355,0.2648428,220.0,-0.7260209,0.67358845,70.4156,-27.121288
356,0.2234026,302.0,-1.4609983,1.1877918,71.033745,-43.25309
358,1.4246799,243.0,-0.76718086,0.26784405,71.16285,5.7726574
359,0.89065295,129.0,-0.65379673,2.7039888,71.30543,-22.14934
360,0.2225534,276.0,-1.283179,0.34117827,71.52343,-31.379536
361,0.5844998,250.0,-0.608411,1.4847913,71.72716,17.109468
362,4.473203,364.0,-0.9305437,1.0319085,71.90483,-22.059795
363,0.25836453,324.0,-0.5880409,1.4747869,72.577614,-32.345642
364,0.8305598,141.0,-1.2184,1.367009,72.621574,-51.344414
365,0.5948067,171.0,-0.7029068,0.27080566,72.968994,-50.991627
366,0.5464817,497.0,-0.9248067,0.7268916,73.06922,14.250424
367,0.42122415,151.0,-0.91482896,0.46415386,73.10975,-25.273577
368,0.3181029,198.0,-0.8512108,1.0287322,73.11729,-15.328022
370,0.5567631,154.0,-1.039335,0.11034351,74.03616,-39.61807
372,0.18541977,327.0,-0.5255368,1.5601652,74.40101,-29.232922
373,2.1649785,286.0,-0.31916472,0.2028675,74.701546,6.134267
374,0.3455474,328.0,-0.35266155,1.9985069,74.8786,-34.063984
375,0.56993383,253.0,-0.5991458,1.7162374,75.43879,13.933023
376,0.48972958,396.0,-1.0082414,0.47752348,75.51169,-58.2865
378,0.622845,273.0,-0.98228616,1.0931503,76.85519,-36.411777
379,0.55773854,253.0,-0.8935525,1.2927878,76.93945,-29.15649
380,0.48431742,454.0,-0.16026142,0.26346365,78.44469,-64.056015
381,1.1104611,107.0,-1.0503638,3.3974688,78.44808,0.92060584
